"Year";"FleetGasoline";"FleetEthanol";"FleetFlex";"FleetDiesel";"FleetHybrid";"FleetBEV";"ModeledFleet"
"1957";"10983,7149859447";"0,00000000000";"0,0000000000";"0,00000000000000e+00";"0,00000000000000e+00";"0,00000000000000e+00";"10983,7149859447"
"1958";"41089,9404092919";"0,00000000000";"0,0000000000";"0,00000000000000e+00";"0,00000000000000e+00";"0,00000000000000e+00";"41089,9404092919"
"1959";"96710,6120222406";"0,00000000000";"0,0000000000";"5,17363929475323e-14";"0,00000000000000e+00";"0,00000000000000e+00";"96710,6120222406"
"1960";"185289,3952770745";"0,00000000000";"0,0000000000";"1,02182540833448e+01";"0,00000000000000e+00";"0,00000000000000e+00";"185299,6135311578"
"1961";"299561,5303777696";"0,00000000000";"0,0000000000";"2,74139675192184e+01";"0,00000000000000e+00";"0,00000000000000e+00";"299588,9443452889"
"1962";"447496,8879185432";"0,00000000000";"0,0000000000";"4,51730857322752e+01";"0,00000000000000e+00";"0,00000000000000e+00";"447542,0610042755"
"1963";"592288,2212393313";"0,00000000000";"0,0000000000";"7,54917846257631e+01";"0,00000000000000e+00";"0,00000000000000e+00";"592363,7130239571"
"1964";"741656,4262372385";"0,00000000000";"0,0000000000";"1,39699680709826e+02";"0,00000000000000e+00";"0,00000000000000e+00";"741796,1259179483"
"1965";"895102,3774522938";"0,00000000000";"0,0000000000";"2,54889741113814e+02";"0,00000000000000e+00";"0,00000000000000e+00";"895357,2671934075"
"1966";"1069873,5568628733";"0,00000000000";"0,0000000000";"3,95625408629555e+02";"0,00000000000000e+00";"0,00000000000000e+00";"1070269,1822715029"
"1967";"1247575,1616754129";"0,00000000000";"0,0000000000";"5,61365956366546e+02";"0,00000000000000e+00";"0,00000000000000e+00";"1248136,5276317794"
"1968";"1456281,4867472826";"0,00000000000";"0,0000000000";"7,49738526261204e+02";"0,00000000000000e+00";"0,00000000000000e+00";"1457031,2252735437"
"1969";"1731860,9730513876";"0,00000000000";"0,0000000000";"9,68989610079400e+02";"0,00000000000000e+00";"0,00000000000000e+00";"1732829,9626614670"
"1970";"2070261,2072250824";"0,00000000000";"0,0000000000";"1,22124976070299e+03";"0,00000000000000e+00";"0,00000000000000e+00";"2071482,4569857854"
"1971";"2493266,6243280913";"0,00000000000";"0,0000000000";"1,50159630334170e+03";"0,00000000000000e+00";"0,00000000000000e+00";"2494768,2206314332"
"1972";"2985355,2997547234";"0,00000000000";"0,0000000000";"1,81005250994045e+03";"0,00000000000000e+00";"0,00000000000000e+00";"2987165,3522646637"
"1973";"3582921,4138537319";"0,00000000000";"0,0000000000";"2,14990798794312e+03";"0,00000000000000e+00";"0,00000000000000e+00";"3585071,3218416749"
"1974";"4259440,2495590467";"0,00000000000";"0,0000000000";"2,52170549888881e+03";"0,00000000000000e+00";"0,00000000000000e+00";"4261961,9550579358"
"1975";"4943302,9285653941";"0,00000000000";"0,0000000000";"2,92510052383637e+03";"0,00000000000000e+00";"0,00000000000000e+00";"4946228,0290892301"
"1976";"5638911,3410624620";"0,00000000000";"0,0000000000";"3,36363929665113e+03";"0,00000000000000e+00";"0,00000000000000e+00";"5642274,9803591128"
"1977";"6253348,7124259351";"0,00000000000";"0,0000000000";"3,85211176672695e+03";"0,00000000000000e+00";"0,00000000000000e+00";"6257200,8241926618"
"1978";"6973476,9844106082";"0,00000000000";"0,0000000000";"4,41466236239505e+03";"0,00000000000000e+00";"0,00000000000000e+00";"6977891,6467730030"
"1979";"7695783,4211775493";"3106,56570992113";"0,0000000000";"5,08736402331396e+03";"0,00000000000000e+00";"0,00000000000000e+00";"7703977,3509107847"
"1980";"8110636,8993818127";"243166,39021491446";"0,0000000000";"6,12328335909938e+03";"0,00000000000000e+00";"0,00000000000000e+00";"8359926,5729558263"
"1981";"8213609,4912150465";"378397,63066653919";"0,0000000000";"7,61125523488685e+03";"0,00000000000000e+00";"0,00000000000000e+00";"8599618,3771164734"
"1982";"8306220,6913213488";"608815,42332436563";"0,0000000000";"9,89693331546573e+03";"0,00000000000000e+00";"0,00000000000000e+00";"8924933,0479611810"
"1983";"8081151,1864557061";"1183443,60643401369";"0,0000000000";"1,32041554647502e+04";"0,00000000000000e+00";"0,00000000000000e+00";"9277798,9483544696"
"1984";"7781054,4923957875";"1740757,72882801178";"0,0000000000";"1,72366305887109e+04";"0,00000000000000e+00";"0,00000000000000e+00";"9539048,8518125098"
"1985";"7448642,7481525894";"2372552,31191700744";"0,0000000000";"2,20550987883607e+04";"0,00000000000000e+00";"0,00000000000000e+00";"9843250,1588579584"
"1986";"7125563,2073089192";"3047885,28635874297";"0,0000000000";"2,76496510192651e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10201098,1446869280"
"1987";"6752557,7562945774";"3474598,09947765432";"0,0000000000";"3,41082671036415e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10261264,1228758730"
"1988";"6411729,0287872208";"3995388,20931303641";"0,0000000000";"4,14136679969407e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10448530,9060971979"
"1989";"6245812,2643688265";"4332846,06047212612";"0,0000000000";"4,98965197468316e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10628554,8445877843"
"1990";"6358351,7275514035";"4334157,78995418362";"0,0000000000";"5,97841133906772e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10752293,6308962647"
"1991";"6475656,5461867871";"4383411,04640923906";"0,0000000000";"7,09810516930194e+04";"0,00000000000000e+00";"0,00000000000000e+00";"10930048,6442890447"
"1992";"6550805,8406519601";"4454926,28187061567";"0,0000000000";"8,35134649527544e+04";"0,00000000000000e+00";"0,00000000000000e+00";"11089245,5874753296"
"1993";"6898687,3140209522";"4572525,50458556879";"0,0000000000";"9,73160109477020e+04";"0,00000000000000e+00";"0,00000000000000e+00";"11568528,8295542225"
"1994";"7616876,4417764926";"4546027,00576532539";"0,0000000000";"1,12907344560500e+05";"0,00000000000000e+00";"0,00000000000000e+00";"12275810,7921023183"
"1995";"8771089,2215047497";"4398388,81985233817";"0,0000000000";"1,30496450086880e+05";"0,00000000000000e+00";"0,00000000000000e+00";"13299974,4914439674"
"1996";"9992661,3576345760";"4200077,83374141157";"0,0000000000";"1,49939072731024e+05";"0,00000000000000e+00";"0,00000000000000e+00";"14342678,2641070113"
"1997";"11391840,8112935014";"3980661,54116595630";"0,0000000000";"1,71012823849634e+05";"0,00000000000000e+00";"0,00000000000000e+00";"15543515,1763090920"
"1998";"12370557,6823030785";"3750233,67117964989";"0,0000000000";"1,94309142536512e+05";"0,00000000000000e+00";"0,00000000000000e+00";"16315100,4960192405"
"1999";"13068212,5436394215";"3522071,58544472326";"0,0000000000";"2,19941331616836e+05";"0,00000000000000e+00";"0,00000000000000e+00";"16810225,4607009813"
"2000";"13931414,1671652868";"3289501,21321930923";"0,0000000000";"2,47593520130412e+05";"0,00000000000000e+00";"0,00000000000000e+00";"17468508,9005150087"
"2001";"14866357,4608620610";"3064745,30995085416";"0,0000000000";"2,77702610023354e+05";"0,00000000000000e+00";"0,00000000000000e+00";"18208805,3808362707"
"2002";"15636152,0282903574";"2880550,73759804619";"0,0000000000";"3,10200663532399e+05";"0,00000000000000e+00";"0,00000000000000e+00";"18826903,4294208027"
"2003";"16232240,1080644839";"2682588,85327384854";"48062,9809802763";"3,44741170851635e+05";"0,00000000000000e+00";"0,00000000000000e+00";"19307633,1131702438"
"2004";"16707508,9433218781";"2507278,95325936656";"375523,8782902109";"3,81108328480879e+05";"0,00000000000000e+00";"0,00000000000000e+00";"19971420,1033523344"
"2005";"16753938,2436216138";"2323297,76164279971";"1184535,0815092120";"4,19541486515283e+05";"0,00000000000000e+00";"0,00000000000000e+00";"20681312,5732889101"
"2006";"16372305,7044318337";"2120075,36082945671";"2607168,3030417436";"4,60287793112764e+05";"2,99283787082961e+00";"0,00000000000000e+00";"21559840,1542536691"
"2007";"15874073,9270034097";"1927159,14246128732";"4594188,6585669629";"5,03438407327127e+05";"5,97732306501527e+00";"0,00000000000000e+00";"22898866,1126818508"
"2008";"15305734,5239356775";"1746717,38196411263";"6893750,8149148403";"5,49162509452912e+05";"1,49325570011602e+01";"0,00000000000000e+00";"24495380,1628245451"
"2009";"14706643,6331270318";"1578872,05651897099";"9494990,8767856844";"5,98144762364832e+05";"3,68156995064239e+01";"0,00000000000000e+00";"26378688,1444960274"
"2010";"14138576,5366194174";"1423481,88498116727";"12288795,6685973536";"6,50585369903601e+05";"6,55794021950798e+01";"9,97612623609869e+00";"28501515,0156299695"
"2011";"13647077,2170053739";"1280252,06369474926";"15011455,7460078560";"7,07295359690484e+05";"2,64750454312676e+02";"1,79291849694978e+01";"30646363,0660377443"
"2012";"13042417,9509919602";"1148741,84601031872";"17991373,3383002058";"7,68918771085122e+05";"3,80361711721285e+02";"3,98046322188647e+01";"32951872,0727315471"
"2013";"12351764,4166492447";"1028408,78628589283";"20905246,2469990887";"8,35430520939850e+05";"8,68056076330030e+02";"7,85292989633219e+01";"35121796,5562493727"
"2014";"11664156,8388661873";"918675,00956758286";"23503244,1527790017";"9,07434558261410e+05";"1,71631770253552e+03";"1,38978421549451e+02";"36995365,8555982634"
"2015";"10943034,6918763313";"818955,18148022878";"25254189,7578964010";"9,84741557823112e+05";"2,55060547262992e+03";"1,99020738164020e+02";"38003670,8152868673"
"2016";"10188266,9874676317";"728623,08843881299";"26449190,9618044682";"1,06622626840012e+06";"3,62169964082539e+03";"3,29282160080786e+02";"38436258,2879119366"
"2017";"9449555,5775295570";"647062,02053841332";"27697979,2519881129";"1,15217524633591e+06";"6,88088897368249e+03";"4,63467694178142e+02";"38954116,4530598521"
"2018";"8756028,9943463057";"573619,94854321168";"29058926,1896464191";"1,24316456469238e+06";"1,07901681262417e+04";"6,35029987737553e+02";"39643164,8953422979"
"2019";"8090053,5651827548";"507692,19268843910";"30448708,9447427951";"1,34029618115149e+06";"2,25344048532459e+04";"1,16553183861057e+03";"40410450,8204573318"
"2020";"7447271,2991701858";"448658,47530841129";"31047177,0587889627";"1,44434700623917e+06";"4,20766102844557e+04";"1,95447760938146e+03";"40431484,9274005666"
"2021";"6838844,7498985333";"395943,13174755644";"31481469,0898859091";"1,55455657484094e+06";"7,38478921961230e+04";"4,79124124028084e+03";"40349452,6798093393"
"2022";"6266149,2322182907";"348954,79720006837";"31809335,8917862810";"1,67217778668484e+06";"1,14068344756501e+05";"1,31801066459638e+04";"40223866,1592919379"
"2023";"5732353,7732366910";"307184,05013621750";"32032844,0040393434";"1,79651318010881e+06";"2,15289950820980e+05";"5,42034841199070e+04";"40138388,4424619451"
"2024";"5236794,0386764528";"270127,40474238375";"32160948,8899364509";"1,92744593727646e+06";"3,82511652459259e+05";"1,30606658790649e+05";"40108434,5818816572"
"2025";"4778316,7850404577";"237314,27605518012";"32203218,4372276850";"2,06478735532935e+06";"6,20901850422281e+05";"2,45235857337192e+05";"40149774,5614121407"
"2026";"4355366,8520467253";"208308,08801118049";"32169175,3679063916";"2,20826921206610e+06";"9,35755143078996e+05";"4,01011766223247e+05";"40277886,4293326363"
"2027";"3966067,8517805235";"182706,57554584404";"32067730,3268859349";"2,35753875404061e+06";"1,33244677277469e+06";"6,00900978131127e+05";"40507391,2591587305"
"2028";"3608296,5035137772";"160141,38961592337";"31906727,3121763617";"2,51215594053844e+06";"1,81639166808657e+06";"8,47889706493495e+05";"40851602,5204245597"
"2029";"3279750,3481841059";"140277,13125928410";"31692611,7376958281";"2,67159230304471e+06";"2,39301472545120e+06";"1,14496394039479e+06";"41322210,1860299185"
"2030";"2978008,4550766391";"122809,94433098428";"31430220,3067575023";"2,83523067891371e+06";"3,06773727001197e+06";"1,49509913683991e+06";"41929105,7919307202"
"2031";"2700584,7337851310";"107465,78987457741";"31122682,0738807768";"3,00236516765621e+06";"3,84598208247998e+06";"1,90126096269537e+06";"42680340,8103720546"
"2032";"2444973,5762827192";"93998,51187502261";"30771412,8144421726";"3,17220090032511e+06";"4,73319672347548e+06";"2,36641696952243e+06";"43582199,4959229305"
"2033";"2208687,7456779936";"82187,78758199891";"30376180,8113575913";"3,34385352281071e+06";"5,73489273175944e+06";"2,89355777437262e+06";"44639360,3735603467"
"2034";"1989288,6598744655";"71837,03812042494";"29935221,3596407548";"3,51634857024123e+06";"6,85669693585780e+06";"3,48572551283791e+06";"45855118,0765725821"
"2035";"1784189,9159485986";"62771,35836492140";"29445379,0420872867";"3,68862106713115e+06";"8,10441063608696e+06";"4,14604704122475e+06";"47231419,0608436763"
"2036";"1598149,1721631195";"54835,51001723623";"28891002,8253478818";"3,85951568715021e+06";"9,46202242963055e+06";"4,87776949269143e+06";"48743295,1170004308"
"2037";"1429568,0242658306";"47892,00894609964";"28265650,8829119876";"4,02835480777267e+06";"1,09339932361490e+07";"5,68429618946866e+06";"50389755,1495142877"
"2038";"1276975,2713286944";"41819,32723056714";"27561891,2587273270";"4,19443288856071e+06";"1,25250722702594e+07";"6,56922143481931e+06";"52169412,4509260356"
"2039";"1139022,4607366945";"36510,22187635560";"26771429,5857645832";"4,35703250233912e+06";"1,42403730700091e+07";"7,53636324081307e+06";"54080731,0815389082"
"2040";"1014475,2958661297";"31870,19561951063";"25885216,9185772724";"4,51544106456013e+06";"1,60854473260085e+07";"8,58979351859381e+06";"56122244,3192253262"
"2041";"902202,6161293319";"27816,09031497811";"24893535,5380090214";"4,66896753212361e+06";"1,80663533104045e+07";"9,73386563090510e+06";"58292740,7178865448"
"2042";"801164,5906483354";"24274,80984649474";"23786062,0403993577";"4,81695830832015e+06";"2,01897161351676e+07";"1,09732394740915e+07";"60591415,3584734052"
"2043";"710401,4674569686";"21182,16702513390";"22551908,2495412678";"4,95881162430605e+06";"2,24627780310538e+07";"1,23129044276956e+07";"63017985,9670788795"
"2044";"629023,7819306905";"18481,84733412865";"21179641,4869295843";"5,09398974380681e+06";"2,48934380927668e+07";"1,37582006017310e+07";"65572775,5544990152"
"2045";"556204,4641653025";"16124,48142924235";"19656966,4986293465";"5,22202843573604e+06";"2,74902821755434e+07";"1,53148388446944e+07";"68256444,9001977593"
"2046";"491172,8880133511";"14066,81785308955";"18180547,5112723373";"5,34254241977975e+06";"3,00511318029699e+07";"1,69889199680420e+07";"71068381,4079303890"
"2047";"433210,6259780157";"12270,98733574285";"16755069,0315409265";"5,45535064494830e+06";"3,25679861295403e+07";"1,87869536106973e+07";"74010841,0300405473"
"2048";"381648,5242522556";"10703,85022731776";"15385298,8092444632";"5,56036655491540e+06";"3,50328690527945e+07";"2,07158771220437e+07";"77086763,9134776145"
"2049";"335864,6717295579";"9336,41895874852";"14075871,5530567095";"5,65759657103473e+06";"3,74380138184389e+07";"2,27830747921830e+07";"80299757,8254016340"
"2050";"295282,8728372593";"8143,34789153821";"12831046,2122190651";"5,74713531752415e+06";"3,97760690564748e+07";"2,49963977095315e+07";"83654074,5164783001"
